musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
3/3 21:38:00,14,3/3 21:44:00,14,0h 6m,3h 21m,3/3 18:17:00,8.96,,,Skwentna
3/3 21:49:00,14,3/3 21:52:00,14,0h 3m,3h 11m,3/3 18:38:00,9.42,,,Skwentna
3/3 23:15:00,14,3/3 23:22:00,14,0h 7m,4h 49m,3/3 18:26:00,6.23,,,Skwentna
3/3 23:33:00,14,3/3 23:40:00,14,0h 7m,5h 4m,3/3 18:29:00,5.92,,,Skwentna
3/4 00:43:00,14,3/4 00:47:00,14,0h 4m,6h 5m,3/3 18:38:00,4.93,,,Skwentna
3/4 01:03:00,14,3/4 01:06:00,14,0h 3m,6h 11m,3/3 18:52:00,4.85,,,Skwentna
3/4 01:04:00,14,3/4 01:07:00,14,0h 3m,6h 11m,3/3 18:53:00,4.85,,,Skwentna
3/4 01:09:00,14,3/4 01:09:00,14,0h 0m,6h 37m,3/3 18:32:00,4.53,,,Skwentna
3/4 01:07:00,14,3/4 01:12:00,14,0h 5m,6h 36m,3/3 18:31:00,4.55,,,Skwentna
3/4 01:01:00,14,3/4 01:15:00,14,0h 14m,5h 31m,3/3 19:30:00,5.44,,,Skwentna
3/4 01:03:00,14,3/4 01:19:00,14,0h 16m,3h 27m,3/3 21:36:00,8.70,,,Skwentna
3/3 21:40:00,14,3/4 01:37:00,14,3h 57m,3h 12m,3/3 18:28:00,9.38,,,Skwentna
3/3 22:25:00,14,3/4 01:37:00,14,3h 12m,3h 5m,3/3 19:20:00,9.73,,,Skwentna
3/4 01:24:00,14,3/4 01:40:00,14,0h 16m,6h 50m,3/3 18:34:00,4.39,,,Skwentna
3/4 01:32:00,14,3/4 01:42:00,14,0h 10m,5h 59m,3/3 19:33:00,5.01,,,Skwentna
3/4 01:27:00,14,3/4 01:46:00,14,0h 19m,5h 29m,3/3 19:58:00,5.47,,,Skwentna
3/4 01:49:00,14,3/4 01:56:00,14,0h 7m,6h 19m,3/3 19:30:00,4.75,,,Skwentna
3/4 01:55:00,14,3/4 02:00:00,14,0h 5m,6h 17m,3/3 19:38:00,4.77,,,Skwentna
3/4 02:14:00,14,3/4 02:18:00,14,0h 4m,7h 30m,3/3 18:44:00,4.00,,,Skwentna
3/3 23:42:00,14,3/4 02:33:00,14,2h 51m,3h 10m,3/3 20:32:00,9.47,,,Skwentna
3/4 02:29:00,14,3/4 02:51:00,14,0h 22m,6h 11m,3/3 20:18:00,4.85,,,Skwentna
3/3 22:56:00,14,3/4 02:53:00,14,3h 57m,3h 21m,3/3 19:35:00,8.96,,,Skwentna
3/4 02:51:00,14,3/4 03:01:00,14,0h 10m,6h 25m,3/3 20:26:00,4.68,,,Skwentna
3/3 23:22:00,14,3/4 03:11:00,14,3h 49m,3h 39m,3/3 19:43:00,8.22,,,Skwentna
3/3 22:10:00,14,3/4 03:17:00,14,5h 7m,3h 37m,3/3 18:33:00,8.29,,,Skwentna
3/3 23:38:00,14,3/4 03:21:00,14,3h 43m,3h 10m,3/3 20:28:00,9.47,,,Skwentna
3/3 20:58:00,14,3/4 03:24:00,14,6h 26m,2h 55m,3/3 18:03:00,10.29,,,Skwentna
3/3 22:23:00,14,3/4 03:26:00,14,5h 3m,3h 5m,3/3 19:18:00,9.73,,,Skwentna
3/4 03:14:00,14,3/4 03:28:00,14,0h 14m,8h 25m,3/3 18:49:00,3.56,,,Skwentna
3/3 22:01:00,14,3/4 03:32:00,14,5h 31m,3h 26m,3/3 18:35:00,8.74,,,Skwentna
3/3 22:20:00,14,3/4 03:34:00,13,5h 14m,3h 24m,3/3 18:56:00,8.82,,,Skwentna
3/4 00:39:00,13,3/4 03:43:00,13,3h 4m,3h 25m,3/3 21:14:00,8.78,,,Skwentna
3/3 21:51:00,14,3/4 03:57:00,14,6h 6m,3h 13m,3/3 18:38:00,9.33,,,Skwentna
3/4 04:04:00,14,3/4 04:07:00,14,0h 3m,8h 14m,3/3 19:50:00,3.64,,,Skwentna
3/3 23:52:00,14,3/4 04:30:00,14,4h 38m,3h 8m,3/3 20:44:00,9.57,,,Skwentna
3/3 23:29:00,14,3/4 04:31:00,14,5h 2m,3h 31m,3/3 19:58:00,8.53,,,Skwentna
3/4 01:16:00,14,3/4 04:38:00,14,3h 22m,3h 14m,3/3 22:02:00,9.28,,,Skwentna
3/4 00:37:00,14,3/4 04:45:00,14,4h 8m,3h 24m,3/3 21:13:00,8.82,,,Skwentna
3/3 23:47:00,14,3/4 04:54:00,14,5h 7m,3h 39m,3/3 20:08:00,8.22,,,Skwentna
3/3 22:19:00,14,3/4 05:02:00,14,6h 43m,3h 30m,3/3 18:49:00,8.57,,,Skwentna
