musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
3/4 03:58:00,14,3/4 05:19:00,14,1h 21m,8h 27m,3/3 19:31:00,3.55,,,Skwentna
3/4 01:26:00,14,3/4 05:20:00,14,3h 54m,3h 33m,3/3 21:53:00,8.45,,,Skwentna
3/4 02:21:00,14,3/4 05:26:00,14,3h 5m,3h 16m,3/3 23:05:00,9.18,,,Skwentna
3/4 00:09:00,14,3/4 05:36:00,14,5h 27m,3h 35m,3/3 20:34:00,8.37,,,Skwentna
3/3 23:27:00,13,3/4 06:00:00,13,6h 33m,3h 19m,3/3 20:08:00,9.05,,,Skwentna
3/4 02:30:00,14,3/4 06:45:00,14,4h 15m,3h 21m,3/3 23:09:00,8.96,,,Skwentna
3/3 23:50:00,14,3/4 06:53:00,14,7h 3m,3h 32m,3/3 20:18:00,8.49,,,Skwentna
3/4 00:42:00,14,3/4 06:53:00,14,6h 11m,3h 21m,3/3 21:21:00,8.96,,,Skwentna
3/4 03:28:00,14,3/4 07:47:00,14,4h 19m,3h 21m,3/4 00:07:00,8.96,,,Skwentna
3/4 04:14:00,14,3/4 08:05:00,14,3h 51m,8h 29m,3/3 19:45:00,3.54,,,Skwentna
3/4 04:11:00,14,3/4 08:42:00,14,4h 31m,8h 18m,3/3 19:53:00,3.61,,,Skwentna
3/4 04:09:00,14,3/4 09:00:00,14,4h 51m,3h 32m,3/4 00:37:00,8.49,,,Skwentna
