musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Richie Beattie,50,3/8 22:16:00,13,3/9 06:18:00,13,8h 2m,7h 14m,3/8 15:02:00,7.60,,,Shageluk
Ed Hopkins,33,3/9 00:19:00,13,3/9 08:32:00,13,8h 13m,9h 12m,3/8 15:07:00,5.98,,,Shageluk
Jessica Klejka,24,3/9 07:28:00,12,3/9 15:28:00,12,8h 0m,8h 28m,3/8 23:00:00,6.50,,,Shageluk
Martin Apayauq Reitan,39,3/9 11:15:00,13,3/9 16:40:00,13,5h 25m,6h 17m,3/9 04:58:00,8.75,,,Shageluk
Niklas Wikstrand,42,3/9 11:11:00,14,3/9 17:48:00,14,6h 37m,6h 43m,3/9 04:28:00,8.19,,,Shageluk
Sebastien Dos Santos Borges,46,3/9 12:23:00,12,3/9 20:24:00,12,8h 1m,7h 39m,3/9 04:44:00,7.19,,,Shageluk
Ryan Santiago,49,3/9 13:39:00,14,3/9 21:39:00,14,8h 0m,6h 31m,3/9 07:08:00,8.44,,,Shageluk
Blair Braverman,11,3/9 18:48:00,11,3/10 04:02:00 *,11,8h 14m,8h 18m,3/9 10:30:00,6.63,,,Shageluk
Anja Radano,2,3/10 01:47:00,11,3/10 07:27:00 *,11,4h 40m,12h 8m,3/9 13:39:00,4.53,,,Shageluk
Kristin Bacon,8,3/10 01:50:00,14,3/10 07:30:00 *,14,4h 40m,12h 17m,3/9 13:33:00,4.48,,,Shageluk
Michael Baker,41,3/10 00:47:00,10,3/10 10:11:00 *,10,8h 24m,7h 15m,3/9 17:32:00,7.59,,,Shageluk
Alison Lifka,37,3/10 05:12:00 *,13,3/10 11:11:00,13,5h 59m,9h 42m,3/9 18:30:00,5.67,,,Shageluk
Jeremy Keller,48,3/10 09:27:00 *,9,3/10 17:51:00,8,8h 24m,8h 26m,3/10 00:01:00,6.52,,,Shageluk
Victoria Hardwick,30,3/10 09:29:00 *,14,3/10 17:52:00,14,8h 23m,9h 7m,3/9 23:22:00,6.03,,,Shageluk
Cindy Gallea,53,3/10 09:29:00 *,12,3/10 17:59:00,12,8h 30m,8h 27m,3/10 00:02:00,6.51,,,Shageluk
