musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
3/3 18:00:00,14,3/3 18:03:00,14,0h 3m,3h 54m,3/3 14:06:00,10.77,,,Yentna
3/3 18:15:00,14,3/3 18:17:00,14,0h 2m,4h 13m,3/3 14:02:00,9.96,,,Yentna
3/3 18:23:00,14,3/3 18:26:00,14,0h 3m,3h 57m,3/3 14:26:00,10.63,,,Yentna
3/3 18:12:00,14,3/3 18:28:00,14,0h 16m,4h 8m,3/3 14:04:00,10.16,,,Yentna
3/3 18:25:00,14,3/3 18:29:00,14,0h 4m,4h 11m,3/3 14:14:00,10.04,,,Yentna
3/3 18:27:00,14,3/3 18:31:00,14,0h 4m,4h 3m,3/3 14:24:00,10.37,,,Yentna
3/3 18:26:00,14,3/3 18:32:00,14,0h 6m,4h 6m,3/3 14:20:00,10.24,,,Yentna
3/3 18:31:00,14,3/3 18:33:00,14,0h 2m,4h 23m,3/3 14:08:00,9.58,,,Yentna
3/3 18:26:00,14,3/3 18:34:00,14,0h 8m,4h 4m,3/3 14:22:00,10.33,,,Yentna
3/3 18:31:00,14,3/3 18:35:00,14,0h 4m,4h 15m,3/3 14:16:00,9.88,,,Yentna
3/3 18:35:00,14,3/3 18:38:00,14,0h 3m,3h 59m,3/3 14:36:00,10.54,,,Yentna
3/3 18:35:00,14,3/3 18:38:00,14,0h 3m,3h 53m,3/3 14:42:00,10.82,,,Yentna
3/3 18:36:00,14,3/3 18:38:00,14,0h 2m,4h 2m,3/3 14:34:00,10.41,,,Yentna
3/3 18:28:00,14,3/3 18:44:00,14,0h 16m,3h 50m,3/3 14:38:00,10.96,,,Yentna
3/3 18:42:00,14,3/3 18:49:00,14,0h 7m,4h 42m,3/3 14:00:00,8.94,,,Yentna
3/3 18:43:00,14,3/3 18:49:00,14,0h 6m,4h 11m,3/3 14:32:00,10.04,,,Yentna
3/3 18:49:00,14,3/3 18:52:00,14,0h 3m,3h 57m,3/3 14:52:00,10.63,,,Yentna
3/3 18:49:00,14,3/3 18:53:00,14,0h 4m,3h 55m,3/3 14:54:00,10.72,,,Yentna
3/3 18:52:00,14,3/3 18:56:00,14,0h 4m,4h 4m,3/3 14:48:00,10.33,,,Yentna
3/3 19:16:00,14,3/3 19:18:00,14,0h 2m,4h 18m,3/3 14:58:00,9.77,,,Yentna
3/3 18:35:00,14,3/3 19:20:00,14,0h 45m,3h 55m,3/3 14:40:00,10.72,,,Yentna
3/3 19:25:00,14,3/3 19:30:00,14,0h 5m,4h 23m,3/3 15:02:00,9.58,,,Yentna
3/3 19:27:00,14,3/3 19:30:00,14,0h 3m,4h 21m,3/3 15:06:00,9.66,,,Yentna
3/3 19:28:00,14,3/3 19:31:00,14,0h 3m,5h 16m,3/3 14:12:00,7.97,,,Yentna
3/3 19:30:00,14,3/3 19:33:00,14,0h 3m,4h 14m,3/3 15:16:00,9.92,,,Yentna
3/3 19:32:00,14,3/3 19:35:00,14,0h 3m,4h 32m,3/3 15:00:00,9.26,,,Yentna
3/3 19:31:00,14,3/3 19:38:00,14,0h 7m,4h 19m,3/3 15:12:00,9.73,,,Yentna
3/3 19:40:00,14,3/3 19:43:00,14,0h 3m,4h 2m,3/3 15:38:00,10.41,,,Yentna
3/3 19:40:00,14,3/3 19:45:00,14,0h 5m,4h 30m,3/3 15:10:00,9.33,,,Yentna
3/3 19:45:00,14,3/3 19:50:00,14,0h 5m,4h 41m,3/3 15:04:00,8.97,,,Yentna
3/3 19:49:00,14,3/3 19:53:00,14,0h 4m,4h 15m,3/3 15:34:00,9.88,,,Yentna
3/3 19:54:00,14,3/3 19:58:00,14,0h 4m,4h 24m,3/3 15:30:00,9.55,,,Yentna
3/3 19:56:00,14,3/3 19:58:00,14,0h 2m,4h 16m,3/3 15:40:00,9.84,,,Yentna
3/3 19:12:00,14,3/3 20:08:00,14,0h 56m,4h 22m,3/3 14:50:00,9.62,,,Yentna
3/3 19:57:00,13,3/3 20:08:00,13,0h 11m,4h 25m,3/3 15:32:00,9.51,,,Yentna
3/3 20:04:00,14,3/3 20:18:00,14,0h 14m,4h 36m,3/3 15:28:00,9.13,,,Yentna
3/3 20:13:00,14,3/3 20:18:00,14,0h 5m,4h 31m,3/3 15:42:00,9.30,,,Yentna
3/3 20:23:00,14,3/3 20:26:00,14,0h 3m,4h 47m,3/3 15:36:00,8.78,,,Yentna
3/3 19:15:00,14,3/3 20:28:00,14,1h 13m,4h 7m,3/3 15:08:00,10.20,,,Yentna
3/3 18:21:00,14,3/3 20:32:00,14,2h 11m,3h 51m,3/3 14:30:00,10.91,,,Yentna
3/3 19:42:00,14,3/3 20:34:00,14,0h 52m,4h 28m,3/3 15:14:00,9.40,,,Yentna
3/3 18:44:00,14,3/3 20:44:00,14,2h 0m,4h 0m,3/3 14:44:00,10.50,,,Yentna
3/3 19:37:00,14,3/3 21:13:00,14,1h 36m,4h 15m,3/3 15:22:00,9.88,,,Yentna
3/3 21:12:00,13,3/3 21:14:00,13,0h 2m,6h 26m,3/3 14:46:00,6.53,,,Yentna
3/3 18:54:00,14,3/3 21:21:00,14,2h 27m,4h 26m,3/3 14:28:00,9.47,,,Yentna
3/3 18:27:00,14,3/3 21:36:00,14,3h 9m,4h 9m,3/3 14:18:00,10.12,,,Yentna
3/3 21:48:00,14,3/3 21:53:00,14,0h 5m,7h 38m,3/3 14:10:00,5.50,,,Yentna
3/3 19:38:00,14,3/3 22:02:00,14,2h 24m,4h 14m,3/3 15:24:00,9.92,,,Yentna
3/3 19:55:00,14,3/3 23:05:00,14,3h 10m,4h 29m,3/3 15:26:00,9.37,,,Yentna
3/3 19:43:00,14,3/3 23:09:00,14,3h 26m,4h 23m,3/3 15:20:00,9.58,,,Yentna
3/3 19:34:00,14,3/4 00:07:00,14,4h 33m,4h 16m,3/3 15:18:00,9.84,,,Yentna
3/3 19:35:00,14,3/4 00:37:00,14,5h 2m,4h 39m,3/3 14:56:00,9.03,,,Yentna
