musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkpoint
Brett Bruggeman,35,3/3 19:27:00,14,3/3 19:30:00,14,0h 3m,4h 21m,3/3 15:06:00,9.66,Yentna
Kristin Bacon,8,3/3 19:28:00,14,3/3 19:31:00,14,0h 3m,5h 16m,3/3 14:12:00,7.97,Yentna
Paige Drobny,40,3/3 19:30:00,14,3/3 19:33:00,14,0h 3m,4h 14m,3/3 15:16:00,9.92,Yentna
Mitch Seavey,32,3/3 19:32:00,14,3/3 19:35:00,14,0h 3m,4h 32m,3/3 15:00:00,9.26,Yentna
Aaron Burmeister,38,3/3 19:31:00,14,3/3 19:38:00,14,0h 7m,4h 19m,3/3 15:12:00,9.73,Yentna
Travis Beals,51,3/3 19:40:00,14,3/3 19:43:00,14,0h 3m,4h 2m,3/3 15:38:00,10.41,Yentna
Alison Lifka,37,3/3 19:40:00,14,3/3 19:45:00,14,0h 5m,4h 30m,3/3 15:10:00,9.33,Yentna
Robert Redington,34,3/3 19:45:00,14,3/3 19:50:00,14,0h 5m,4h 41m,3/3 15:04:00,8.97,Yentna
Ryan Santiago,49,3/3 19:49:00,14,3/3 19:53:00,14,0h 4m,4h 15m,3/3 15:34:00,9.88,Yentna
Aaron Peck,47,3/3 19:54:00,14,3/3 19:58:00,14,0h 4m,4h 24m,3/3 15:30:00,9.55,Yentna
Sarah Stokey,52,3/3 19:56:00,14,3/3 19:58:00,14,0h 2m,4h 16m,3/3 15:40:00,9.84,Yentna
Marcelle Fressineau,27,3/3 19:12:00,14,3/3 20:08:00,14,0h 56m,4h 22m,3/3 14:50:00,9.62,Yentna
Jeremy Keller,48,3/3 19:57:00,13,3/3 20:08:00,13,0h 11m,4h 25m,3/3 15:32:00,9.51,Yentna
Sebastien Dos Santos Borges,46,3/3 20:04:00,14,3/3 20:18:00,14,0h 14m,4h 36m,3/3 15:28:00,9.13,Yentna
Cindy Gallea,53,3/3 20:13:00,14,3/3 20:18:00,14,0h 5m,4h 31m,3/3 15:42:00,9.30,Yentna
Richie Beattie,50,3/3 20:23:00,14,3/3 20:26:00,14,0h 3m,4h 47m,3/3 15:36:00,8.78,Yentna
Wade Marrs,36,3/3 19:15:00,14,3/3 20:28:00,14,1h 13m,4h 7m,3/3 15:08:00,10.20,Yentna
Matthew Failor,17,3/3 18:21:00,14,3/3 20:32:00,14,2h 11m,3h 51m,3/3 14:30:00,10.91,Yentna
Martin Apayauq Reitan,39,3/3 19:42:00,14,3/3 20:34:00,14,0h 52m,4h 28m,3/3 15:14:00,9.40,Yentna
Jessica Klejka,24,3/3 18:44:00,14,3/3 20:44:00,14,2h 0m,4h 0m,3/3 14:44:00,10.50,Yentna
Michi Konno,43,3/3 19:37:00,14,3/3 21:13:00,14,1h 36m,4h 15m,3/3 15:22:00,9.88,Yentna
Jeff Deeter,25,3/3 21:12:00,13,3/3 21:14:00,13,0h 2m,6h 26m,3/3 14:46:00,6.53,Yentna
Cindy Abbott,16,3/3 18:54:00,14,3/3 21:21:00,14,2h 27m,4h 26m,3/3 14:28:00,9.47,Yentna
Blair Braverman,11,3/3 18:27:00,14,3/3 21:36:00,14,3h 9m,4h 9m,3/3 14:18:00,10.12,Yentna
Shaynee Traska,7,3/3 21:48:00,14,3/3 21:53:00,14,0h 5m,7h 38m,3/3 14:10:00,5.50,Yentna
Lance Mackey,44,3/3 19:38:00,14,3/3 22:02:00,14,2h 24m,4h 14m,3/3 15:24:00,9.92,Yentna
Seth Barnes,45,3/3 19:55:00,14,3/3 23:05:00,14,3h 10m,4h 29m,3/3 15:26:00,9.37,Yentna
Niklas Wikstrand,42,3/3 19:43:00,14,3/3 23:09:00,14,3h 26m,4h 23m,3/3 15:20:00,9.58,Yentna
Michael Baker,41,3/3 19:34:00,14,3/4 00:07:00,14,4h 33m,4h 16m,3/3 15:18:00,9.84,Yentna
Victoria Hardwick,30,3/3 19:35:00,14,3/4 00:37:00,14,5h 2m,4h 39m,3/3 14:56:00,9.03,Yentna
Matt Hall,3,3/3 21:38:00,14,3/3 21:44:00,14,0h 6m,3h 21m,3/3 18:17:00,8.96,Skwentna
Nicolas Petit,20,3/3 21:49:00,14,3/3 21:52:00,14,0h 3m,3h 11m,3/3 18:38:00,9.42,Skwentna
Linwood Fiedler,15,3/3 23:15:00,14,3/3 23:22:00,14,0h 7m,4h 49m,3/3 18:26:00,6.23,Skwentna
Peter Kaiser,9,3/3 23:33:00,14,3/3 23:40:00,14,0h 7m,5h 4m,3/3 18:29:00,5.92,Skwentna
Aliy Zirkle,19,3/4 00:43:00,14,3/4 00:47:00,14,0h 4m,6h 5m,3/3 18:38:00,4.93,Skwentna
Joar Leifseth Ulsom,28,3/4 01:03:00,14,3/4 01:06:00,14,0h 3m,6h 11m,3/3 18:52:00,4.85,Skwentna
Richie Diehl,29,3/4 01:04:00,14,3/4 01:07:00,14,0h 3m,6h 11m,3/3 18:53:00,4.85,Skwentna
Jason Campeau,12,3/4 01:09:00,14,3/4 01:09:00,14,0h 0m,6h 37m,3/3 18:32:00,4.53,Skwentna
Jessie Royer,14,3/4 01:07:00,14,3/4 01:12:00,14,0h 5m,6h 36m,3/3 18:31:00,4.55,Skwentna
Brett Bruggeman,35,3/4 01:01:00,14,3/4 01:15:00,14,0h 14m,5h 31m,3/3 19:30:00,5.44,Skwentna
Blair Braverman,11,3/4 01:03:00,14,3/4 01:19:00,14,0h 16m,3h 27m,3/3 21:36:00,8.70,Skwentna
Mats Pettersson,4,3/3 21:40:00,14,3/4 01:37:00,14,3h 57m,3h 12m,3/3 18:28:00,9.38,Skwentna
