location,index,,,,,
Willow,1,,,,,
Yentna,2,,,,,
Skwentna,3,,,,,
Finger Lake,4,,,,,
Rainy Pass,5,,,,,
Rohn,6,,,,,
Nikolai,7,,,,,
McGrath,8,,,,,
Takotna,9,,,,,
Ophir,10,,,,,
Iditarod,11,,,,,
Shageluk,12,,,,,
Anvik,13,,,,,
Grayling,14,,,,,
Eagle Island,15,,,,,
Kaltag,16,,,,,
Unalakleet,17,,,,,
Shaktoolik,18,,,,,
Koyuk,19,,,,,
Elim,20,,,,,
White Mountain,21,,,,,
Safety,22,,,,,
Nome,23,,,,,
