currentMusher,musherLocation,currentTimeStamp,index,relOrder
Jessie Holmes,Ophir_inTime,2019-03-07T02:00:00Z,19,1
Jessie Holmes,Ophir_inTime,2019-03-07T03:00:00Z,19,1
Jessie Holmes,Ophir_inTime,2019-03-07T04:00:00Z,19,1
Jessie Holmes,Ophir_inTime,2019-03-07T05:00:00Z,19,1
Jessie Holmes,Ophir_inTime,2019-03-07T06:00:00Z,19,1
Jessie Holmes,Ophir_inTime,2019-03-07T07:00:00Z,19,1
Jessie Holmes,Ophir_inTime,2019-03-07T08:00:00Z,19,1
Jessie Holmes,Ophir_inTime,2019-03-07T09:00:00Z,19,1
Jessie Holmes,Ophir_outTime,2019-03-07T10:00:00Z,20,1
Jessie Holmes,Ophir_outTime,2019-03-07T11:00:00Z,20,1
Jessie Holmes,Ophir_outTime,2019-03-07T12:00:00Z,20,1
Jessie Holmes,Ophir_outTime,2019-03-07T13:00:00Z,20,1
Jessie Holmes,Ophir_outTime,2019-03-07T14:00:00Z,20,1
Jessie Holmes,Ophir_outTime,2019-03-07T15:00:00Z,20,1
Jessie Holmes,Ophir_outTime,2019-03-07T16:00:00Z,20,1
Jessie Holmes,Ophir_outTime,2019-03-07T17:00:00Z,20,1
Jessie Holmes,Ophir_outTime,2019-03-07T18:00:00Z,20,1
Jessie Holmes,Iditarod_inTime,2019-03-07T19:00:00Z,21,1
Jessie Holmes,Iditarod_inTime,2019-03-07T20:00:00Z,21,1
Jessie Holmes,Iditarod_inTime,2019-03-07T21:00:00Z,21,1
Jessie Holmes,Iditarod_inTime,2019-03-07T22:00:00Z,21,1
Jessie Holmes,Iditarod_inTime,2019-03-07T23:00:00Z,21,1
Jessie Holmes,Iditarod_inTime,2019-03-08T00:00:00Z,21,1
Jessie Holmes,Iditarod_inTime,2019-03-08T01:00:00Z,21,1
Jessie Holmes,Iditarod_outTime,2019-03-08T02:00:00Z,22,1
Jessie Holmes,Iditarod_outTime,2019-03-08T03:00:00Z,22,1
Jessie Holmes,Iditarod_outTime,2019-03-08T04:00:00Z,22,1
Jessie Holmes,Iditarod_outTime,2019-03-08T05:00:00Z,22,1
Jessie Holmes,Iditarod_outTime,2019-03-08T06:00:00Z,22,1
Jessie Holmes,Iditarod_outTime,2019-03-08T07:00:00Z,22,1
Jessie Holmes,Iditarod_outTime,2019-03-08T08:00:00Z,22,1
