musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder,rest8
Paige Drobny,40,3/3 19:30:00,14,3/3 19:33:00,14,0h 3m,4h 14m,3/3 15:16:00,9.92,Yentna,2019-03-03T19:30:00Z,2019-03-03T19:33:00Z,2019-03-03T15:16:00Z,254,3,0,0,31,7,0
Mitch Seavey,32,3/3 19:32:00,14,3/3 19:35:00,14,0h 3m,4h 32m,3/3 15:00:00,9.26,Yentna,2019-03-03T19:32:00Z,2019-03-03T19:35:00Z,2019-03-03T15:00:00Z,272,3,0,0,33,9,0
Aaron Burmeister,38,3/3 19:31:00,14,3/3 19:38:00,14,0h 7m,4h 19m,3/3 15:12:00,9.73,Yentna,2019-03-03T19:31:00Z,2019-03-03T19:38:00Z,2019-03-03T15:12:00Z,259,7,0,0,32,10,0
Travis Beals,51,3/3 19:40:00,14,3/3 19:43:00,14,0h 3m,4h 2m,3/3 15:38:00,10.41,Yentna,2019-03-03T19:40:00Z,2019-03-03T19:43:00Z,2019-03-03T15:38:00Z,242,3,0,0,38,5,0
Alison Lifka,37,3/3 19:40:00,14,3/3 19:45:00,14,0h 5m,4h 30m,3/3 15:10:00,9.33,Yentna,2019-03-03T19:40:00Z,2019-03-03T19:45:00Z,2019-03-03T15:10:00Z,270,5,0,0,39,33,0
Robert Redington,34,3/3 19:45:00,14,3/3 19:50:00,14,0h 5m,4h 41m,3/3 15:04:00,8.97,Yentna,2019-03-03T19:45:00Z,2019-03-03T19:50:00Z,2019-03-03T15:04:00Z,281,5,0,0,42,NA,0
Ryan Santiago,49,3/3 19:49:00,14,3/3 19:53:00,14,0h 4m,4h 15m,3/3 15:34:00,9.88,Yentna,2019-03-03T19:49:00Z,2019-03-03T19:53:00Z,2019-03-03T15:34:00Z,255,4,0,0,43,30,0
Aaron Peck,47,3/3 19:54:00,14,3/3 19:58:00,14,0h 4m,4h 24m,3/3 15:30:00,9.55,Yentna,2019-03-03T19:54:00Z,2019-03-03T19:58:00Z,2019-03-03T15:30:00Z,264,4,0,0,44,24,0
Sarah Stokey,52,3/3 19:56:00,14,3/3 19:58:00,14,0h 2m,4h 16m,3/3 15:40:00,9.84,Yentna,2019-03-03T19:56:00Z,2019-03-03T19:58:00Z,2019-03-03T15:40:00Z,256,2,0,0,46,35,0
Marcelle Fressineau,27,3/3 19:12:00,14,3/3 20:08:00,14,0h 56m,4h 22m,3/3 14:50:00,9.62,Yentna,2019-03-03T19:12:00Z,2019-03-03T20:08:00Z,2019-03-03T14:50:00Z,262,56,0,0,25,NA,0
Jeremy Keller,48,3/3 19:57:00,13,3/3 20:08:00,13,0h 11m,4h 25m,3/3 15:32:00,9.51,Yentna,2019-03-03T19:57:00Z,2019-03-03T20:08:00Z,2019-03-03T15:32:00Z,265,11,0,0,47,38,0
Sebastien Dos Santos Borges,46,3/3 20:04:00,14,3/3 20:18:00,14,0h 14m,4h 36m,3/3 15:28:00,9.13,Yentna,2019-03-03T20:04:00Z,2019-03-03T20:18:00Z,2019-03-03T15:28:00Z,276,14,0,0,48,NA,0
Cindy Gallea,53,3/3 20:13:00,14,3/3 20:18:00,14,0h 5m,4h 31m,3/3 15:42:00,9.3,Yentna,2019-03-03T20:13:00Z,2019-03-03T20:18:00Z,2019-03-03T15:42:00Z,271,5,0,0,49,NA,0
Richie Beattie,50,3/3 20:23:00,14,3/3 20:26:00,14,0h 3m,4h 47m,3/3 15:36:00,8.78,Yentna,2019-03-03T20:23:00Z,2019-03-03T20:26:00Z,2019-03-03T15:36:00Z,287,3,0,0,50,21,0
Wade Marrs,36,3/3 19:15:00,14,3/3 20:28:00,14,1h 13m,4h 7m,3/3 15:08:00,10.2,Yentna,2019-03-03T19:15:00Z,2019-03-03T20:28:00Z,2019-03-03T15:08:00Z,247,73,0,0,26,14,0
Matthew Failor,17,3/3 18:21:00,14,3/3 20:32:00,14,2h 11m,3h 51m,3/3 14:30:00,10.91,Yentna,2019-03-03T18:21:00Z,2019-03-03T20:32:00Z,2019-03-03T14:30:00Z,231,131,0,0,4,18,0
Martin Apayauq Reitan,39,3/3 19:42:00,14,3/3 20:34:00,14,0h 52m,4h 28m,3/3 15:14:00,9.4,Yentna,2019-03-03T19:42:00Z,2019-03-03T20:34:00Z,2019-03-03T15:14:00Z,268,52,0,0,40,29,0
Jessica Klejka,24,3/3 18:44:00,14,3/3 20:44:00,14,2h 0m,4h 0m,3/3 14:44:00,10.5,Yentna,2019-03-03T18:44:00Z,2019-03-03T20:44:00Z,2019-03-03T14:44:00Z,240,120,0,0,20,32,0
Michi Konno,43,3/3 19:37:00,14,3/3 21:13:00,14,1h 36m,4h 15m,3/3 15:22:00,9.88,Yentna,2019-03-03T19:37:00Z,2019-03-03T21:13:00Z,2019-03-03T15:22:00Z,255,96,0,0,36,26,0
Jeff Deeter,25,3/3 21:12:00,13,3/3 21:14:00,13,0h 2m,6h 26m,3/3 14:46:00,6.53,Yentna,2019-03-03T21:12:00Z,2019-03-03T21:14:00Z,2019-03-03T14:46:00Z,386,2,0,0,51,15,0
Cindy Abbott,16,3/3 18:54:00,14,3/3 21:21:00,14,2h 27m,4h 26m,3/3 14:28:00,9.47,Yentna,2019-03-03T18:54:00Z,2019-03-03T21:21:00Z,2019-03-03T14:28:00Z,266,147,0,0,24,NA,0
Blair Braverman,11,3/3 18:27:00,14,3/3 21:36:00,14,3h 9m,4h 9m,3/3 14:18:00,10.12,Yentna,2019-03-03T18:27:00Z,2019-03-03T21:36:00Z,2019-03-03T14:18:00Z,249,189,0,0,10,37,0
Shaynee Traska,7,3/3 21:48:00,14,3/3 21:53:00,14,0h 5m,7h 38m,3/3 14:10:00,5.5,Yentna,2019-03-03T21:48:00Z,2019-03-03T21:53:00Z,2019-03-03T14:10:00Z,458,5,0,0,52,NA,0
Lance Mackey,44,3/3 19:38:00,14,3/3 22:02:00,14,2h 24m,4h 14m,3/3 15:24:00,9.92,Yentna,2019-03-03T19:38:00Z,2019-03-03T22:02:00Z,2019-03-03T15:24:00Z,254,144,0,0,37,27,0
Seth Barnes,45,3/3 19:55:00,14,3/3 23:05:00,14,3h 10m,4h 29m,3/3 15:26:00,9.37,Yentna,2019-03-03T19:55:00Z,2019-03-03T23:05:00Z,2019-03-03T15:26:00Z,269,190,0,0,45,19,0
Niklas Wikstrand,42,3/3 19:43:00,14,3/3 23:09:00,14,3h 26m,4h 23m,3/3 15:20:00,9.58,Yentna,2019-03-03T19:43:00Z,2019-03-03T23:09:00Z,2019-03-03T15:20:00Z,263,206,0,0,41,NA,0
Michael Baker,41,3/3 19:34:00,14,3/4 00:07:00,14,4h 33m,4h 16m,3/3 15:18:00,9.84,Yentna,2019-03-03T19:34:00Z,2019-03-04T00:07:00Z,2019-03-03T15:18:00Z,256,273,0,0,34,34,0
Victoria Hardwick,30,3/3 19:35:00,14,3/4 00:37:00,14,5h 2m,4h 39m,3/3 14:56:00,9.03,Yentna,2019-03-03T19:35:00Z,2019-03-04T00:37:00Z,2019-03-03T14:56:00Z,279,302,0,0,35,40,0
Matt Hall,3,3/3 21:38:00,14,3/3 21:44:00,14,0h 6m,3h 21m,3/3 18:17:00,8.96,Skwentna,2019-03-03T21:38:00Z,2019-03-03T21:44:00Z,2019-03-03T18:17:00Z,201,6,0,0,2,6,0
Nicolas Petit,20,3/3 21:49:00,14,3/3 21:52:00,14,0h 3m,3h 11m,3/3 18:38:00,9.42,Skwentna,2019-03-03T21:49:00Z,2019-03-03T21:52:00Z,2019-03-03T18:38:00Z,191,3,0,0,4,NA,0
Linwood Fiedler,15,3/3 23:15:00,14,3/3 23:22:00,14,0h 7m,4h 49m,3/3 18:26:00,6.23,Skwentna,2019-03-03T23:15:00Z,2019-03-03T23:22:00Z,2019-03-03T18:26:00Z,289,7,0,0,13,12,0
Peter Kaiser,9,3/3 23:33:00,14,3/3 23:40:00,14,0h 7m,5h 4m,3/3 18:29:00,5.92,Skwentna,2019-03-03T23:33:00Z,2019-03-03T23:40:00Z,2019-03-03T18:29:00Z,304,7,0,0,17,1,0
Aliy Zirkle,19,3/4 00:43:00,14,3/4 00:47:00,14,0h 4m,6h 5m,3/3 18:38:00,4.93,Skwentna,2019-03-04T00:43:00Z,2019-03-04T00:47:00Z,2019-03-03T18:38:00Z,365,4,0,0,27,4,0
Joar Leifseth Ulsom,28,3/4 01:03:00,14,3/4 01:06:00,14,0h 3m,6h 11m,3/3 18:52:00,4.85,Skwentna,2019-03-04T01:03:00Z,2019-03-04T01:06:00Z,2019-03-03T18:52:00Z,371,3,0,0,29,2,0
Richie Diehl,29,3/4 01:04:00,14,3/4 01:07:00,14,0h 3m,6h 11m,3/3 18:53:00,4.85,Skwentna,2019-03-04T01:04:00Z,2019-03-04T01:07:00Z,2019-03-03T18:53:00Z,371,3,0,0,31,11,0
Jason Campeau,12,3/4 01:09:00,14,3/4 01:09:00,14,0h 0m,6h 37m,3/3 18:32:00,4.53,Skwentna,2019-03-04T01:09:00Z,2019-03-04T01:09:00Z,2019-03-03T18:32:00Z,397,0,0,0,33,31,0
Jessie Royer,14,3/4 01:07:00,14,3/4 01:12:00,14,0h 5m,6h 36m,3/3 18:31:00,4.55,Skwentna,2019-03-04T01:07:00Z,2019-03-04T01:12:00Z,2019-03-03T18:31:00Z,396,5,0,0,32,3,0
Brett Bruggeman,35,3/4 01:01:00,14,3/4 01:15:00,14,0h 14m,5h 31m,3/3 19:30:00,5.44,Skwentna,2019-03-04T01:01:00Z,2019-03-04T01:15:00Z,2019-03-03T19:30:00Z,331,14,0,0,28,NA,0
Blair Braverman,11,3/4 01:03:00,14,3/4 01:19:00,14,0h 16m,3h 27m,3/3 21:36:00,8.7,Skwentna,2019-03-04T01:03:00Z,2019-03-04T01:19:00Z,2019-03-03T21:36:00Z,207,16,0,0,30,37,0
Mats Pettersson,4,3/3 21:40:00,14,3/4 01:37:00,14,3h 57m,3h 12m,3/3 18:28:00,9.38,Skwentna,2019-03-03T21:40:00Z,2019-03-04T01:37:00Z,2019-03-03T18:28:00Z,192,237,0,0,3,20,0
Ryan Redington,22,3/3 22:25:00,14,3/4 01:37:00,14,3h 12m,3h 5m,3/3 19:20:00,9.73,Skwentna,2019-03-03T22:25:00Z,2019-03-04T01:37:00Z,2019-03-03T19:20:00Z,185,192,0,0,11,NA,0
Lev Shvarts,13,3/4 01:24:00,14,3/4 01:40:00,14,0h 16m,6h 50m,3/3 18:34:00,4.39,Skwentna,2019-03-04T01:24:00Z,2019-03-04T01:40:00Z,2019-03-03T18:34:00Z,410,16,0,0,35,NA,0
Paige Drobny,40,3/4 01:32:00,14,3/4 01:42:00,14,0h 10m,5h 59m,3/3 19:33:00,5.01,Skwentna,2019-03-04T01:32:00Z,2019-03-04T01:42:00Z,2019-03-03T19:33:00Z,359,10,0,0,38,7,0
Aaron Peck,47,3/4 01:27:00,14,3/4 01:46:00,14,0h 19m,5h 29m,3/3 19:58:00,5.47,Skwentna,2019-03-04T01:27:00Z,2019-03-04T01:46:00Z,2019-03-03T19:58:00Z,329,19,0,0,37,24,0
Ed Hopkins,33,3/4 01:49:00,14,3/4 01:56:00,14,0h 7m,6h 19m,3/3 19:30:00,4.75,Skwentna,2019-03-04T01:49:00Z,2019-03-04T01:56:00Z,2019-03-03T19:30:00Z,379,7,0,0,39,22,0
Aaron Burmeister,38,3/4 01:55:00,14,3/4 02:00:00,14,0h 5m,6h 17m,3/3 19:38:00,4.77,Skwentna,2019-03-04T01:55:00Z,2019-03-04T02:00:00Z,2019-03-03T19:38:00Z,377,5,0,0,40,10,0
Martin Buser,21,3/4 02:14:00,14,3/4 02:18:00,14,0h 4m,7h 30m,3/3 18:44:00,4,Skwentna,2019-03-04T02:14:00Z,2019-03-04T02:18:00Z,2019-03-03T18:44:00Z,450,4,0,0,41,23,0
Matthew Failor,17,3/3 23:42:00,14,3/4 02:33:00,14,2h 51m,3h 10m,3/3 20:32:00,9.47,Skwentna,2019-03-03T23:42:00Z,2019-03-04T02:33:00Z,2019-03-03T20:32:00Z,190,171,0,0,19,18,0
Sebastien Dos Santos Borges,46,3/4 02:29:00,14,3/4 02:51:00,14,0h 22m,6h 11m,3/3 20:18:00,4.85,Skwentna,2019-03-04T02:29:00Z,2019-03-04T02:51:00Z,2019-03-03T20:18:00Z,371,22,0,0,43,NA,0
Mitch Seavey,32,3/3 22:56:00,14,3/4 02:53:00,14,3h 57m,3h 21m,3/3 19:35:00,8.96,Skwentna,2019-03-03T22:56:00Z,2019-03-04T02:53:00Z,2019-03-03T19:35:00Z,201,237,0,0,12,9,0
Richie Beattie,50,3/4 02:51:00,14,3/4 03:01:00,14,0h 10m,6h 25m,3/3 20:26:00,4.68,Skwentna,2019-03-04T02:51:00Z,2019-03-04T03:01:00Z,2019-03-03T20:26:00Z,385,10,0,0,45,21,0
Travis Beals,51,3/3 23:22:00,14,3/4 03:11:00,14,3h 49m,3h 39m,3/3 19:43:00,8.22,Skwentna,2019-03-03T23:22:00Z,2019-03-04T03:11:00Z,2019-03-03T19:43:00Z,219,229,0,0,14,5,0
Ramey Smyth,6,3/3 22:10:00,14,3/4 03:17:00,14,5h 7m,3h 37m,3/3 18:33:00,8.29,Skwentna,2019-03-03T22:10:00Z,2019-03-04T03:17:00Z,2019-03-03T18:33:00Z,217,307,0,0,7,8,0
Wade Marrs,36,3/3 23:38:00,14,3/4 03:21:00,14,3h 43m,3h 10m,3/3 20:28:00,9.47,Skwentna,2019-03-03T23:38:00Z,2019-03-04T03:21:00Z,2019-03-03T20:28:00Z,190,223,0,0,18,14,0
Jessie Holmes,5,3/3 20:58:00,14,3/4 03:24:00,14,6h 26m,2h 55m,3/3 18:03:00,10.29,Skwentna,2019-03-03T20:58:00Z,2019-03-04T03:24:00Z,2019-03-03T18:03:00Z,175,386,0,0,1,28,0
Charley Bejna,31,3/3 22:23:00,14,3/4 03:26:00,14,5h 3m,3h 5m,3/3 19:18:00,9.73,Skwentna,2019-03-03T22:23:00Z,2019-03-04T03:26:00Z,2019-03-03T19:18:00Z,185,303,0,0,10,25,0
Anja Radano,2,3/4 03:14:00,14,3/4 03:28:00,14,0h 14m,8h 25m,3/3 18:49:00,3.56,Skwentna,2019-03-04T03:14:00Z,2019-03-04T03:28:00Z,2019-03-03T18:49:00Z,505,14,0,0,46,36,0
Anna Berington,10,3/3 22:01:00,14,3/4 03:32:00,14,5h 31m,3h 26m,3/3 18:35:00,8.74,Skwentna,2019-03-03T22:01:00Z,2019-03-04T03:32:00Z,2019-03-03T18:35:00Z,206,331,0,0,6,17,0
Kristy Berington,26,3/3 22:20:00,14,3/4 03:34:00,13,5h 14m,3h 24m,3/3 18:56:00,8.82,Skwentna,2019-03-03T22:20:00Z,2019-03-04T03:34:00Z,2019-03-03T18:56:00Z,204,314,1,0,9,16,0
Jeff Deeter,25,3/4 00:39:00,13,3/4 03:43:00,13,3h 4m,3h 25m,3/3 21:14:00,8.78,Skwentna,2019-03-04T00:39:00Z,2019-03-04T03:43:00Z,2019-03-03T21:14:00Z,205,184,0,0,25,15,0
Jeff King,23,3/3 21:51:00,14,3/4 03:57:00,14,6h 6m,3h 13m,3/3 18:38:00,9.33,Skwentna,2019-03-03T21:51:00Z,2019-03-04T03:57:00Z,2019-03-03T18:38:00Z,193,366,0,0,5,13,0
Robert Redington,34,3/4 04:04:00,14,3/4 04:07:00,14,0h 3m,8h 14m,3/3 19:50:00,3.64,Skwentna,2019-03-04T04:04:00Z,2019-03-04T04:07:00Z,2019-03-03T19:50:00Z,494,3,0,0,49,NA,0
Jessica Klejka,24,3/3 23:52:00,14,3/4 04:30:00,14,4h 38m,3h 8m,3/3 20:44:00,9.57,Skwentna,2019-03-03T23:52:00Z,2019-03-04T04:30:00Z,2019-03-03T20:44:00Z,188,278,0,0,22,32,0
Sarah Stokey,52,3/3 23:29:00,14,3/4 04:31:00,14,5h 2m,3h 31m,3/3 19:58:00,8.53,Skwentna,2019-03-03T23:29:00Z,2019-03-04T04:31:00Z,2019-03-03T19:58:00Z,211,302,0,0,16,35,0
Lance Mackey,44,3/4 01:16:00,14,3/4 04:38:00,14,3h 22m,3h 14m,3/3 22:02:00,9.28,Skwentna,2019-03-04T01:16:00Z,2019-03-04T04:38:00Z,2019-03-03T22:02:00Z,194,202,0,0,34,27,0
Michi Konno,43,3/4 00:37:00,14,3/4 04:45:00,14,4h 8m,3h 24m,3/3 21:13:00,8.82,Skwentna,2019-03-04T00:37:00Z,2019-03-04T04:45:00Z,2019-03-03T21:13:00Z,204,248,0,0,24,26,0
Marcelle Fressineau,27,3/3 23:47:00,14,3/4 04:54:00,14,5h 7m,3h 39m,3/3 20:08:00,8.22,Skwentna,2019-03-03T23:47:00Z,2019-03-04T04:54:00Z,2019-03-03T20:08:00Z,219,307,0,0,20,NA,0
