musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder,rest8
Paige Drobny,40,3/5 12:02:00,13,3/5 16:20:00,13,4h 18m,13h 36m,3/4 22:26:00,5.51,Nikolai,2019-03-05T12:02:00Z,2019-03-05T16:20:00Z,2019-03-04T22:26:00Z,816,258,0,0,16,7,0
Mats Pettersson,4,3/5 11:42:00,14,3/5 16:40:00,13,4h 58m,9h 32m,3/5 02:10:00,7.87,Nikolai,2019-03-05T11:42:00Z,2019-03-05T16:40:00Z,2019-03-05T02:10:00Z,572,298,1,0,14,20,0
Lev Shvarts,13,3/5 12:56:00,13,3/5 18:05:00,13,5h 9m,13h 10m,3/4 23:46:00,5.7,Nikolai,2019-03-05T12:56:00Z,2019-03-05T18:05:00Z,2019-03-04T23:46:00Z,790,309,0,0,18,NA,0
Linwood Fiedler,15,3/5 11:59:00,13,3/5 18:15:00,13,6h 16m,10h 3m,3/5 01:56:00,7.46,Nikolai,2019-03-05T11:59:00Z,2019-03-05T18:15:00Z,2019-03-05T01:56:00Z,603,376,0,0,15,12,0
Aaron Peck,47,3/5 18:16:00,13,3/5 18:16:00,12,0h 0m,14h 9m,3/5 04:07:00,5.3,Nikolai,2019-03-05T18:16:00Z,2019-03-05T18:16:00Z,2019-03-05T04:07:00Z,849,0,1,0,29,24,0
Ramey Smyth,6,3/5 13:21:00,14,3/5 18:21:00,14,5h 0m,15h 13m,3/4 22:08:00,4.93,Nikolai,2019-03-05T13:21:00Z,2019-03-05T18:21:00Z,2019-03-04T22:08:00Z,913,300,0,0,21,8,0
Sarah Stokey,52,3/5 13:15:00,14,3/5 18:25:00,14,5h 10m,9h 52m,3/5 03:23:00,7.6,Nikolai,2019-03-05T13:15:00Z,2019-03-05T18:25:00Z,2019-03-05T03:23:00Z,592,310,0,0,19,35,0
Martin Buser,21,3/5 13:20:00,14,3/5 19:02:00,14,5h 42m,13h 56m,3/4 23:24:00,5.38,Nikolai,2019-03-05T13:20:00Z,2019-03-05T19:02:00Z,2019-03-04T23:24:00Z,836,342,0,0,20,23,0
Anna Berington,10,3/5 19:02:00,14,3/5 19:05:00,14,0h 3m,15h 17m,3/5 03:45:00,4.91,Nikolai,2019-03-05T19:02:00Z,2019-03-05T19:05:00Z,2019-03-05T03:45:00Z,917,3,0,0,31,17,0
Kristy Berington,26,3/5 19:03:00,13,3/5 19:06:00,13,0h 3m,15h 14m,3/5 03:49:00,4.92,Nikolai,2019-03-05T19:03:00Z,2019-03-05T19:06:00Z,2019-03-05T03:49:00Z,914,3,0,0,32,16,0
Michi Konno,43,3/5 14:08:00,14,3/5 19:32:00,13,5h 24m,11h 40m,3/5 02:28:00,6.43,Nikolai,2019-03-05T14:08:00Z,2019-03-05T19:32:00Z,2019-03-05T02:28:00Z,700,324,1,0,22,26,0
Charley Bejna,31,3/5 14:42:00,13,3/5 20:15:00,13,5h 33m,14h 17m,3/5 00:25:00,5.25,Nikolai,2019-03-05T14:42:00Z,2019-03-05T20:15:00Z,2019-03-05T00:25:00Z,857,333,0,0,23,25,0
Jeff King,23,3/5 14:53:00,14,3/5 20:15:00,14,5h 22m,8h 59m,3/5 05:54:00,8.35,Nikolai,2019-03-05T14:53:00Z,2019-03-05T20:15:00Z,2019-03-05T05:54:00Z,539,322,0,0,24,13,0
Jeff Deeter,25,3/5 15:11:00,12,3/5 20:24:00,11,5h 13m,15h 19m,3/4 23:52:00,4.9,Nikolai,2019-03-05T15:11:00Z,2019-03-05T20:24:00Z,2019-03-04T23:52:00Z,919,313,1,0,25,15,0
Brett Bruggeman,35,3/5 16:07:00,14,3/5 20:28:00,14,4h 21m,10h 11m,3/5 05:56:00,7.36,Nikolai,2019-03-05T16:07:00Z,2019-03-05T20:28:00Z,2019-03-05T05:56:00Z,611,261,0,0,27,NA,0
Jason Campeau,12,3/5 16:06:00,14,3/5 20:34:00,13,4h 28m,13h 22m,3/5 02:44:00,5.61,Nikolai,2019-03-05T16:06:00Z,2019-03-05T20:34:00Z,2019-03-05T02:44:00Z,802,268,1,0,26,31,0
Ed Hopkins,33,3/5 16:22:00,13,3/5 21:39:00,13,5h 17m,9h 42m,3/5 06:40:00,7.73,Nikolai,2019-03-05T16:22:00Z,2019-03-05T21:39:00Z,2019-03-05T06:40:00Z,582,317,0,0,28,22,0
Seth Barnes,45,3/5 18:35:00,14,3/5 22:40:00,14,4h 5m,12h 26m,3/5 06:09:00,6.03,Nikolai,2019-03-05T18:35:00Z,2019-03-05T22:40:00Z,2019-03-05T06:09:00Z,746,245,0,0,30,19,0
Richie Beattie,50,3/5 19:28:00,14,3/6 00:19:00,14,4h 51m,12h 16m,3/5 07:12:00,6.11,Nikolai,2019-03-05T19:28:00Z,2019-03-06T00:19:00Z,2019-03-05T07:12:00Z,736,291,0,0,34,21,0
Robert Redington,34,3/5 20:53:00,13,3/6 02:07:00,13,5h 14m,13h 46m,3/5 07:07:00,5.45,Nikolai,2019-03-05T20:53:00Z,2019-03-06T02:07:00Z,2019-03-05T07:07:00Z,826,314,0,0,36,NA,0
Jessica Klejka,24,3/5 19:05:00,14,3/6 02:14:00,14,7h 9m,10h 53m,3/5 08:12:00,6.89,Nikolai,2019-03-05T19:05:00Z,2019-03-06T02:14:00Z,2019-03-05T08:12:00Z,653,429,0,0,33,32,0
Emily Maxwell,18,3/6 03:46:00,12,3/6 03:46:00,12,0h 0m,19h 17m,3/5 08:29:00,3.89,Nikolai,2019-03-06T03:46:00Z,2019-03-06T03:46:00Z,2019-03-05T08:29:00Z,1157,0,0,0,41,NA,0
Lance Mackey,44,3/5 19:50:00,14,3/6 03:55:00,13,8h 5m,12h 36m,3/5 07:14:00,5.95,Nikolai,2019-03-05T19:50:00Z,2019-03-06T03:55:00Z,2019-03-05T07:14:00Z,756,485,1,0,35,27,1
Sebastien Dos Santos Borges,46,3/5 23:18:00,14,3/6 05:11:00,14,5h 53m,14h 55m,3/5 08:23:00,5.03,Nikolai,2019-03-05T23:18:00Z,2019-03-06T05:11:00Z,2019-03-05T08:23:00Z,895,353,0,0,37,NA,0
Martin Apayauq Reitan,39,3/6 01:05:00,13,3/6 09:02:00,13,7h 57m,12h 0m,3/5 13:05:00,6.25,Nikolai,2019-03-06T01:05:00Z,2019-03-06T09:02:00Z,2019-03-05T13:05:00Z,720,477,0,0,38,29,0
Blair Braverman,11,3/6 03:35:00,13,3/6 09:19:00,12,5h 44m,14h 47m,3/5 12:48:00,5.07,Nikolai,2019-03-06T03:35:00Z,2019-03-06T09:19:00Z,2019-03-05T12:48:00Z,887,344,1,0,40,37,0
Niklas Wikstrand,42,3/6 03:52:00,14,3/6 09:50:00,14,5h 58m,15h 2m,3/5 12:50:00,4.99,Nikolai,2019-03-06T03:52:00Z,2019-03-06T09:50:00Z,2019-03-05T12:50:00Z,902,358,0,0,42,NA,0
Kristin Bacon,8,3/6 05:49:00,14,3/6 11:22:00,14,5h 33m,16h 58m,3/5 12:51:00,4.42,Nikolai,2019-03-06T05:49:00Z,2019-03-06T11:22:00Z,2019-03-05T12:51:00Z,1018,333,0,0,44,39,0
Anja Radano,2,3/6 05:18:00,13,3/6 11:25:00,13,6h 7m,14h 59m,3/5 14:19:00,5.01,Nikolai,2019-03-06T05:18:00Z,2019-03-06T11:25:00Z,2019-03-05T14:19:00Z,899,367,0,0,43,36,0
Michael Baker,41,3/6 06:57:00,13,3/6 11:45:00,13,4h 48m,17h 15m,3/5 13:42:00,4.35,Nikolai,2019-03-06T06:57:00Z,2019-03-06T11:45:00Z,2019-03-05T13:42:00Z,1035,288,0,0,45,34,0
Ryan Santiago,49,3/6 07:30:00,14,3/6 13:45:00,14,6h 15m,16h 25m,3/5 15:05:00,4.57,Nikolai,2019-03-06T07:30:00Z,2019-03-06T13:45:00Z,2019-03-05T15:05:00Z,985,375,0,0,46,30,0
Marcelle Fressineau,27,3/6 08:02:00,13,3/6 15:15:00,13,7h 13m,14h 34m,3/5 17:28:00,5.15,Nikolai,2019-03-06T08:02:00Z,2019-03-06T15:15:00Z,2019-03-05T17:28:00Z,874,433,0,0,47,NA,0
Jeremy Keller,48,3/6 11:09:00,9,3/6 20:13:00,9,9h 4m,17h 20m,3/5 17:49:00,4.33,Nikolai,2019-03-06T11:09:00Z,2019-03-06T20:13:00Z,2019-03-05T17:49:00Z,1040,544,0,0,48,38,1
Victoria Hardwick,30,3/6 16:34:00,14,3/6 20:17:00,14,3h 43m,18h 34m,3/5 22:00:00,4.04,Nikolai,2019-03-06T16:34:00Z,2019-03-06T20:17:00Z,2019-03-05T22:00:00Z,1114,223,0,0,52,40,0
Cindy Abbott,16,3/6 13:42:00,14,3/6 20:24:00,14,6h 42m,16h 2m,3/5 21:40:00,4.68,Nikolai,2019-03-06T13:42:00Z,2019-03-06T20:24:00Z,2019-03-05T21:40:00Z,962,402,0,0,50,NA,0
Cindy Gallea,53,3/6 13:22:00,13,3/6 20:47:00,13,7h 25m,15h 17m,3/5 22:05:00,4.91,Nikolai,2019-03-06T13:22:00Z,2019-03-06T20:47:00Z,2019-03-05T22:05:00Z,917,445,0,0,49,NA,0
Alison Lifka,37,3/6 14:00:00,13,3/6 20:48:00,13,6h 48m,22h 0m,3/5 16:00:00,3.41,Nikolai,2019-03-06T14:00:00Z,2019-03-06T20:48:00Z,2019-03-05T16:00:00Z,1320,408,0,0,51,33,0
Shaynee Traska,7,3/6 01:44:00,10,NA,10,NA,15h 14m,3/5 10:30:00,4.92,Nikolai,2019-03-06T01:44:00Z,NA,2019-03-05T10:30:00Z,914,NA,0,NA,39,NA,NA
Joar Leifseth Ulsom,28,3/5 16:45:00,13,3/5 16:49:00,13,0h 4m,6h 8m,3/5 10:37:00,7.83,McGrath,2019-03-05T16:45:00Z,2019-03-05T16:49:00Z,2019-03-05T10:37:00Z,368,4,0,0,2,2,0
Jessie Royer,14,3/5 18:40:00,14,3/5 18:44:00,14,0h 4m,6h 31m,3/5 12:09:00,7.37,McGrath,2019-03-05T18:40:00Z,2019-03-05T18:44:00Z,2019-03-05T12:09:00Z,391,4,0,0,3,3,0
Peter Kaiser,9,3/5 19:23:00,14,3/5 19:24:00,14,0h 1m,7h 0m,3/5 12:23:00,6.86,McGrath,2019-03-05T19:23:00Z,2019-03-05T19:24:00Z,2019-03-05T12:23:00Z,420,1,0,0,4,1,0
Nicolas Petit,20,3/5 15:17:00,14,3/5 19:33:00,14,4h 16m,6h 9m,3/5 09:08:00,7.8,McGrath,2019-03-05T15:17:00Z,2019-03-05T19:33:00Z,2019-03-05T09:08:00Z,369,256,0,0,1,NA,0
Matt Hall,3,3/5 20:22:00,13,3/5 20:23:00,13,0h 1m,7h 22m,3/5 13:00:00,6.52,McGrath,2019-03-05T20:22:00Z,2019-03-05T20:23:00Z,2019-03-05T13:00:00Z,442,1,0,0,6,6,0
Ryan Redington,22,3/5 20:36:00,14,3/5 20:43:00,14,0h 7m,6h 55m,3/5 13:41:00,6.94,McGrath,2019-03-05T20:36:00Z,2019-03-05T20:43:00Z,2019-03-05T13:41:00Z,415,7,0,0,7,NA,0
Richie Diehl,29,3/5 20:47:00,14,3/5 20:50:00,14,0h 3m,6h 17m,3/5 14:30:00,7.64,McGrath,2019-03-05T20:47:00Z,2019-03-05T20:50:00Z,2019-03-05T14:30:00Z,377,3,0,0,8,11,0
Mitch Seavey,32,3/5 21:26:00,13,3/5 21:28:00,13,0h 2m,6h 46m,3/5 14:40:00,7.09,McGrath,2019-03-05T21:26:00Z,2019-03-05T21:28:00Z,2019-03-05T14:40:00Z,406,2,0,0,10,9,0
Matthew Failor,17,3/5 21:49:00,13,3/5 21:51:00,13,0h 2m,6h 17m,3/5 15:32:00,7.64,McGrath,2019-03-05T21:49:00Z,2019-03-05T21:51:00Z,2019-03-05T15:32:00Z,377,2,0,0,12,18,0
Paige Drobny,40,3/5 23:16:00,13,3/5 23:19:00,13,0h 3m,6h 56m,3/5 16:20:00,6.92,McGrath,2019-03-05T23:16:00Z,2019-03-05T23:19:00Z,2019-03-05T16:20:00Z,416,3,0,0,13,7,0
Aliy Zirkle,19,3/5 19:47:00,14,3/6 00:00:00,14,4h 13m,6h 53m,3/5 12:54:00,6.97,McGrath,2019-03-05T19:47:00Z,2019-03-06T00:00:00Z,2019-03-05T12:54:00Z,413,253,0,0,5,4,0
Mats Pettersson,4,3/6 00:01:00,13,3/6 00:06:00,12,0h 5m,7h 21m,3/5 16:40:00,6.53,McGrath,2019-03-06T00:01:00Z,2019-03-06T00:06:00Z,2019-03-05T16:40:00Z,441,5,1,0,16,20,0
Jessie Holmes,5,3/5 21:44:00,14,3/6 01:27:00,14,3h 43m,6h 30m,3/5 15:14:00,7.38,McGrath,2019-03-05T21:44:00Z,2019-03-06T01:27:00Z,2019-03-05T15:14:00Z,390,223,0,0,11,28,0
Travis Beals,51,3/5 20:51:00,13,3/6 01:30:00,13,4h 39m,6h 42m,3/5 14:09:00,7.16,McGrath,2019-03-05T20:51:00Z,2019-03-06T01:30:00Z,2019-03-05T14:09:00Z,402,279,0,0,9,5,0
Linwood Fiedler,15,3/6 01:28:00,13,3/6 01:30:00,13,0h 2m,7h 13m,3/5 18:15:00,6.65,McGrath,2019-03-06T01:28:00Z,2019-03-06T01:30:00Z,2019-03-05T18:15:00Z,433,2,0,0,18,12,0
Aaron Burmeister,38,3/5 23:24:00,13,3/6 02:05:00,13,2h 41m,7h 25m,3/5 15:59:00,6.47,McGrath,2019-03-05T23:24:00Z,2019-03-06T02:05:00Z,2019-03-05T15:59:00Z,445,161,0,0,15,10,0
Jeff King,23,3/6 03:25:00,14,3/6 03:27:00,14,0h 2m,7h 10m,3/5 20:15:00,6.7,McGrath,2019-03-06T03:25:00Z,2019-03-06T03:27:00Z,2019-03-05T20:15:00Z,430,2,0,0,26,13,0
Jason Campeau,12,3/6 04:06:00,13,3/6 04:07:00,13,0h 1m,7h 32m,3/5 20:34:00,6.37,McGrath,2019-03-06T04:06:00Z,2019-03-06T04:07:00Z,2019-03-05T20:34:00Z,452,1,0,0,28,31,0
Charley Bejna,31,3/6 04:10:00,13,3/6 04:20:00,13,0h 10m,7h 55m,3/5 20:15:00,6.06,McGrath,2019-03-06T04:10:00Z,2019-03-06T04:20:00Z,2019-03-05T20:15:00Z,475,10,0,0,29,25,0
Michi Konno,43,3/6 03:20:00,13,3/6 04:33:00,13,1h 13m,7h 48m,3/5 19:32:00,6.15,McGrath,2019-03-06T03:20:00Z,2019-03-06T04:33:00Z,2019-03-05T19:32:00Z,468,73,0,0,25,26,0
Martin Buser,21,3/6 02:39:00,14,3/6 06:35:00,12,3h 56m,7h 37m,3/5 19:02:00,6.3,McGrath,2019-03-06T02:39:00Z,2019-03-06T06:35:00Z,2019-03-05T19:02:00Z,457,236,2,0,22,23,0
Ed Hopkins,33,3/6 05:27:00,13,3/6 07:35:00,13,2h 8m,7h 48m,3/5 21:39:00,6.15,McGrath,2019-03-06T05:27:00Z,2019-03-06T07:35:00Z,2019-03-05T21:39:00Z,468,128,0,0,31,22,0
Kristy Berington,26,3/6 02:40:00,13,3/6 08:58:00,12,6h 18m,7h 34m,3/5 19:06:00,6.34,McGrath,2019-03-06T02:40:00Z,2019-03-06T08:58:00Z,2019-03-05T19:06:00Z,454,378,1,0,23,16,0
Anna Berington,10,3/6 02:43:00,14,3/6 08:59:00,14,6h 16m,7h 38m,3/5 19:05:00,6.29,McGrath,2019-03-06T02:43:00Z,2019-03-06T08:59:00Z,2019-03-05T19:05:00Z,458,376,0,0,24,17,0
Martin Apayauq Reitan,39,3/6 18:53:00,13,3/6 18:56:00,13,0h 3m,9h 51m,3/6 09:02:00,4.87,McGrath,2019-03-06T18:53:00Z,2019-03-06T18:56:00Z,2019-03-06T09:02:00Z,591,3,0,0,41,29,0
Kristin Bacon,8,3/6 20:44:00,14,3/6 20:46:00,14,0h 2m,9h 22m,3/6 11:22:00,5.12,McGrath,2019-03-06T20:44:00Z,2019-03-06T20:46:00Z,2019-03-06T11:22:00Z,562,2,0,0,45,39,0
Wade Marrs,36,3/5 23:22:00,12,3/6 23:56:00,12,24h 34m,7h 10m,3/5 16:12:00,6.7,McGrath,2019-03-05T23:22:00Z,2019-03-06T23:56:00Z,2019-03-05T16:12:00Z,430,1474,0,1,14,14,0
Aaron Peck,47,3/6 01:40:00,12,3/7 01:54:00,12,24h 14m,7h 24m,3/5 18:16:00,6.49,McGrath,2019-03-06T01:40:00Z,2019-03-07T01:54:00Z,2019-03-05T18:16:00Z,444,1454,0,1,19,24,0
Sarah Stokey,52,3/6 01:48:00,14,3/7 01:57:00,12,24h 9m,7h 23m,3/5 18:25:00,6.5,McGrath,2019-03-06T01:48:00Z,2019-03-07T01:57:00Z,2019-03-05T18:25:00Z,443,1449,2,1,20,35,0
Lev Shvarts,13,3/6 00:52:00,13,3/7 02:12:00,12,25h 20m,6h 47m,3/5 18:05:00,7.08,McGrath,2019-03-06T00:52:00Z,2019-03-07T02:12:00Z,2019-03-05T18:05:00Z,407,1520,1,1,17,NA,0
Cindy Gallea,53,3/7 03:29:00,13,3/7 03:31:00,13,0h 2m,6h 42m,3/6 20:47:00,7.16,McGrath,2019-03-07T03:29:00Z,2019-03-07T03:31:00Z,2019-03-06T20:47:00Z,402,2,0,0,49,NA,0
Ramey Smyth,6,3/6 02:13:00,14,3/7 03:47:00,14,25h 34m,7h 52m,3/5 18:21:00,6.1,McGrath,2019-03-06T02:13:00Z,2019-03-07T03:47:00Z,2019-03-05T18:21:00Z,472,1534,0,1,21,8,0
Michael Baker,41,3/6 20:04:00,13,3/7 04:39:00,12,8h 35m,8h 19m,3/6 11:45:00,5.77,McGrath,2019-03-06T20:04:00Z,2019-03-07T04:39:00Z,2019-03-06T11:45:00Z,499,515,1,0,43,34,1
Jeff Deeter,25,3/6 04:04:00,11,3/7 05:00:00,11,24h 56m,7h 40m,3/5 20:24:00,6.26,McGrath,2019-03-06T04:04:00Z,2019-03-07T05:00:00Z,2019-03-05T20:24:00Z,460,1496,0,1,27,15,0
Brett Bruggeman,35,3/6 04:28:00,14,3/7 05:04:00,14,24h 36m,8h 0m,3/5 20:28:00,6,McGrath,2019-03-06T04:28:00Z,2019-03-07T05:04:00Z,2019-03-05T20:28:00Z,480,1476,0,1,30,NA,0
Seth Barnes,45,3/6 06:03:00,14,3/7 06:20:00,14,24h 17m,7h 23m,3/5 22:40:00,6.5,McGrath,2019-03-06T06:03:00Z,2019-03-07T06:20:00Z,2019-03-05T22:40:00Z,443,1457,0,1,32,19,0
Marcelle Fressineau,27,3/7 01:09:00,13,3/7 07:06:00,13,5h 57m,9h 54m,3/6 15:15:00,4.85,McGrath,2019-03-07T01:09:00Z,2019-03-07T07:06:00Z,2019-03-06T15:15:00Z,594,357,0,0,46,NA,0
Alison Lifka,37,3/7 02:49:00,13,3/7 07:06:00,13,4h 17m,6h 1m,3/6 20:48:00,7.98,McGrath,2019-03-07T02:49:00Z,2019-03-07T07:06:00Z,2019-03-06T20:48:00Z,361,257,0,0,47,33,0
Richie Beattie,50,3/6 07:39:00,14,3/7 07:52:00,14,24h 13m,7h 20m,3/6 00:19:00,6.55,McGrath,2019-03-06T07:39:00Z,2019-03-07T07:52:00Z,2019-03-06T00:19:00Z,440,1453,0,1,33,21,0
Robert Redington,34,3/6 09:38:00,13,3/7 10:16:00,13,24h 38m,7h 31m,3/6 02:07:00,6.39,McGrath,2019-03-06T09:38:00Z,2019-03-07T10:16:00Z,2019-03-06T02:07:00Z,451,1478,0,1,35,NA,0
Jessica Klejka,24,3/6 09:29:00,14,3/7 10:41:00,14,25h 12m,7h 15m,3/6 02:14:00,6.62,McGrath,2019-03-06T09:29:00Z,2019-03-07T10:41:00Z,2019-03-06T02:14:00Z,435,1512,0,1,34,32,0
Lance Mackey,44,3/6 11:15:00,13,3/7 11:33:00,13,24h 18m,7h 20m,3/6 03:55:00,6.55,McGrath,2019-03-06T11:15:00Z,2019-03-07T11:33:00Z,2019-03-06T03:55:00Z,440,1458,0,1,36,27,0
Sebastien Dos Santos Borges,46,3/6 14:25:00,14,3/7 14:44:00,12,24h 19m,9h 14m,3/6 05:11:00,5.2,McGrath,2019-03-06T14:25:00Z,2019-03-07T14:44:00Z,2019-03-06T05:11:00Z,554,1459,2,1,38,NA,0
Emily Maxwell,18,3/6 12:40:00,12,3/7 15:30:00,10,26h 50m,8h 54m,3/6 03:46:00,5.39,McGrath,2019-03-06T12:40:00Z,2019-03-07T15:30:00Z,2019-03-06T03:46:00Z,534,1610,2,1,37,NA,0
Niklas Wikstrand,42,3/6 17:04:00,14,3/7 17:26:00,14,24h 22m,7h 14m,3/6 09:50:00,6.64,McGrath,2019-03-06T17:04:00Z,2019-03-07T17:26:00Z,2019-03-06T09:50:00Z,434,1462,0,1,39,NA,0
Blair Braverman,11,3/6 17:42:00,12,3/7 19:08:00,11,25h 26m,8h 23m,3/6 09:19:00,5.73,McGrath,2019-03-06T17:42:00Z,2019-03-07T19:08:00Z,2019-03-06T09:19:00Z,503,1526,1,1,40,37,0
Ryan Santiago,49,3/6 20:16:00,14,3/7 20:24:00,14,24h 8m,6h 31m,3/6 13:45:00,7.37,McGrath,2019-03-06T20:16:00Z,2019-03-07T20:24:00Z,2019-03-06T13:45:00Z,391,1448,0,1,44,30,0
Anja Radano,2,3/6 19:14:00,13,3/7 21:22:00,12,26h 8m,7h 49m,3/6 11:25:00,6.14,McGrath,2019-03-06T19:14:00Z,2019-03-07T21:22:00Z,2019-03-06T11:25:00Z,469,1568,1,1,42,36,0
Jeremy Keller,48,3/7 04:22:00,9,3/8 04:44:00,9,24h 22m,8h 9m,3/6 20:13:00,5.89,McGrath,2019-03-07T04:22:00Z,2019-03-08T04:44:00Z,2019-03-06T20:13:00Z,489,1462,0,1,51,38,0
Victoria Hardwick,30,3/7 04:07:00,14,3/8 04:53:00,14,24h 46m,7h 50m,3/6 20:17:00,6.13,McGrath,2019-03-07T04:07:00Z,2019-03-08T04:53:00Z,2019-03-06T20:17:00Z,470,1486,0,1,50,40,0
Cindy Abbott,16,3/7 03:25:00,14,3/8 05:23:00,14,25h 58m,7h 1m,3/6 20:24:00,6.84,McGrath,2019-03-07T03:25:00Z,2019-03-08T05:23:00Z,2019-03-06T20:24:00Z,421,1558,0,1,48,NA,0
Nicolas Petit,20,3/5 22:04:00,14,3/5 22:05:00,14,0h 1m,2h 31m,3/5 19:33:00,7.15,Takotna,2019-03-05T22:04:00Z,2019-03-05T22:05:00Z,2019-03-05T19:33:00Z,151,1,0,0,4,NA,0
Aliy Zirkle,19,3/6 02:35:00,14,3/6 02:38:00,14,0h 3m,2h 35m,3/6 00:00:00,6.97,Takotna,2019-03-06T02:35:00Z,2019-03-06T02:38:00Z,2019-03-06T00:00:00Z,155,3,0,0,11,4,0
Jessie Holmes,5,3/6 03:56:00,14,3/6 03:57:00,14,0h 1m,2h 29m,3/6 01:27:00,7.25,Takotna,2019-03-06T03:56:00Z,2019-03-06T03:57:00Z,2019-03-06T01:27:00Z,149,1,0,0,13,28,0
Aaron Burmeister,38,3/6 05:01:00,13,3/6 05:08:00,13,0h 7m,2h 56m,3/6 02:05:00,6.14,Takotna,2019-03-06T05:01:00Z,2019-03-06T05:08:00Z,2019-03-06T02:05:00Z,176,7,0,0,16,10,0
Martin Buser,21,3/6 09:08:00,12,3/6 09:09:00,12,0h 1m,2h 33m,3/6 06:35:00,7.06,Takotna,2019-03-06T09:08:00Z,2019-03-06T09:09:00Z,2019-03-06T06:35:00Z,153,1,0,0,21,23,0
Anna Berington,10,3/6 11:40:00,14,3/6 11:47:00,14,0h 7m,2h 41m,3/6 08:59:00,6.71,Takotna,2019-03-06T11:40:00Z,2019-03-06T11:47:00Z,2019-03-06T08:59:00Z,161,7,0,0,23,17,0
Kristy Berington,26,3/6 11:41:00,12,3/6 11:47:00,12,0h 6m,2h 43m,3/6 08:58:00,6.63,Takotna,2019-03-06T11:41:00Z,2019-03-06T11:47:00Z,2019-03-06T08:58:00Z,163,6,0,0,24,16,0
Joar Leifseth Ulsom,28,3/5 19:08:00,13,3/6 19:58:00,13,24h 50m,2h 19m,3/5 16:49:00,7.77,Takotna,2019-03-05T19:08:00Z,2019-03-06T19:58:00Z,2019-03-05T16:49:00Z,139,1490,0,1,1,2,0
Jessie Royer,14,3/5 21:15:00,14,3/6 22:33:00,14,25h 18m,2h 31m,3/5 18:44:00,7.15,Takotna,2019-03-05T21:15:00Z,2019-03-06T22:33:00Z,2019-03-05T18:44:00Z,151,1518,0,1,2,3,0
Peter Kaiser,9,3/5 21:59:00,14,3/6 23:27:00,14,25h 28m,2h 35m,3/5 19:24:00,6.97,Takotna,2019-03-05T21:59:00Z,2019-03-06T23:27:00Z,2019-03-05T19:24:00Z,155,1528,0,1,3,1,0
Richie Diehl,29,3/5 23:18:00,14,3/7 00:06:00,14,24h 48m,2h 28m,3/5 20:50:00,7.3,Takotna,2019-03-05T23:18:00Z,2019-03-07T00:06:00Z,2019-03-05T20:50:00Z,148,1488,0,1,6,11,0
Ryan Redington,22,3/5 23:29:00,14,3/7 00:31:00,14,25h 2m,2h 46m,3/5 20:43:00,6.51,Takotna,2019-03-05T23:29:00Z,2019-03-07T00:31:00Z,2019-03-05T20:43:00Z,166,1502,0,1,7,NA,0
Mitch Seavey,32,3/5 23:55:00,13,3/7 00:37:00,13,24h 42m,2h 27m,3/5 21:28:00,7.35,Takotna,2019-03-05T23:55:00Z,2019-03-07T00:37:00Z,2019-03-05T21:28:00Z,147,1482,0,1,8,9,0
Matt Hall,3,3/5 23:11:00,13,3/7 00:51:00,13,25h 40m,2h 48m,3/5 20:23:00,6.43,Takotna,2019-03-05T23:11:00Z,2019-03-07T00:51:00Z,2019-03-05T20:23:00Z,168,1540,0,1,5,6,0
Matthew Failor,17,3/6 00:12:00,13,3/7 01:24:00,13,25h 12m,2h 21m,3/5 21:51:00,7.66,Takotna,2019-03-06T00:12:00Z,2019-03-07T01:24:00Z,2019-03-05T21:51:00Z,141,1512,0,1,9,18,0
Wade Marrs,36,3/7 02:18:00,12,3/7 02:19:00,12,0h 1m,2h 22m,3/6 23:56:00,7.61,Takotna,2019-03-07T02:18:00Z,2019-03-07T02:19:00Z,2019-03-06T23:56:00Z,142,1,0,0,27,14,0
Paige Drobny,40,3/6 02:10:00,13,3/7 02:36:00,13,24h 26m,2h 51m,3/5 23:19:00,6.32,Takotna,2019-03-06T02:10:00Z,2019-03-07T02:36:00Z,2019-03-05T23:19:00Z,171,1466,0,1,10,7,0
Travis Beals,51,3/6 04:01:00,13,3/7 04:05:00,13,24h 4m,2h 31m,3/6 01:30:00,7.15,Takotna,2019-03-06T04:01:00Z,2019-03-07T04:05:00Z,2019-03-06T01:30:00Z,151,1444,0,1,14,5,0
Sarah Stokey,52,3/7 04:18:00,12,3/7 04:21:00,12,0h 3m,2h 21m,3/7 01:57:00,7.66,Takotna,2019-03-07T04:18:00Z,2019-03-07T04:21:00Z,2019-03-07T01:57:00Z,141,3,0,0,28,35,0
Aaron Peck,47,3/7 04:21:00,12,3/7 04:28:00,11,0h 7m,2h 27m,3/7 01:54:00,7.35,Takotna,2019-03-07T04:21:00Z,2019-03-07T04:28:00Z,2019-03-07T01:54:00Z,147,7,1,0,29,24,0
Lev Shvarts,13,3/7 04:28:00,12,3/7 04:31:00,12,0h 3m,2h 16m,3/7 02:12:00,7.94,Takotna,2019-03-07T04:28:00Z,2019-03-07T04:31:00Z,2019-03-07T02:12:00Z,136,3,0,0,30,NA,0
